NUM, BAND, TIME
1,0,1576263170
2,0,1576263171
3,0,1576263172
4,0,1576263173
5,0,1576263174
6,0,1576263175
7,0,1576263176
8,0,1576263177
9,0,1576263178
10,0,1576263179
11,0,1576263180
12,0,1576263181
13,0,1576263182
14,0,1576263183
15,0,1576263184
16,0,1576263185
17,0,1576263186
18,0,1576263187
19,0,1576263188
20,0,1576263189
21,0,1576263190
22,0,1576263191
23,0,1576263192
24,0,1576263193
25,0,1576263194
26,0,1576263195
27,0,1576263196
28,20438472704,1576263197
29,21712502784,1576263198
30,24782333952,1576263199
31,29856917504,1576263200
32,30842992640,1576263201
33,20201975808,1576263202
34,23267033088,1576263203
35,22322249728,1576263204
36,24965201920,1576263205
37,25625434112,1576263206
38,21604982784,1576263207
39,35303620608,1576263208
40,27361617920,1576263209
41,21398534144,1576263210
42,27084931072,1576263211
43,24224354304,1576263212
44,26844766208,1576263213
45,26635003904,1576263214
46,23630350336,1576263215
47,23998849024,1576263216
48,7451305984,1576263217
49,0,1576263218
50,0,1576263219
51,0,1576263220
52,0,1576263221
53,0,1576263222
54,0,1576263223
55,0,1576263224
56,0,1576263225
57,0,1576263226
58,0,1576263227
59,0,1576263228
60,0,1576263229
61,0,1576263230
62,0,1576263231
63,0,1576263232
64,0,1576263233
65,0,1576263234
66,0,1576263235
67,0,1576263236
68,0,1576263237
69,0,1576263238
70,0,1576263239
71,0,1576263240
72,0,1576263241
73,0,1576263242
74,0,1576263243
75,0,1576263244
76,0,1576263245
77,0,1576263246
